,date,open,high,low,close,adj_close,volume,stock
43,1962-05-14,0.2278645783662796,0.2291666716337204,0.2180989533662796,0.2239583283662796,0.0036317501217126846,3187200,KO
44,1962-01-11,5.961863040924072,5.961863040924072,5.926723957061768,5.950150012969971,1.3740766048431396,29800,ARNC
45,1962-01-18,5.76556304522923,0.1749131977558136,0.1736111044883728,0.1736111044883728,0.00021249706333037466,1094400,MO
46,1962-01-29,5.931405067443848,5.955434799194336,5.915384769439697,5.923395156860352,1.3934485912322998,42500,AA
47,1962-03-20,0.8189300298690796,0.8271604776382446,0.8168724179267883,0.8168724179267883,0.14597247540950775,588800,BA
48,1962-03-20,5.76556304522923,1.294921875,1.287109375,1.291015625,0.012252489104866982,256000,PG
49,1962-04-23,5.76556304522923,8.611063003540039,8.459991455078125,8.459991455078125,0.7466931939125061,41300,IP
50,1962-05-07,5.76556304522923,10.34375,10.1875,10.21875,1.7874544858932495,22800,GT
51,1962-04-10,0.7777777910232544,0.7798354029655457,0.7736625671386719,0.7736625671386719,0.138250932097435,291600,BA
52,1962-08-03,0.6748971343040466,0.6810699701309204,0.6707819104194641,0.6748971343040466,0.12189172208309174,595200,BA
53,1962-03-22,0.8168724179267883,0.8333333134651184,0.8168724179267883,0.8292180895805359,0.14817865192890167,340200,BA
54,1962-04-19,5.973575592041016,6.05556583404541,5.950150012969971,5.961863040924072,1.3837586641311646,59700,ARNC
55,1962-09-18,5.76556304522923,231.25,228.75,229.375,106.30060577392578,400,NAV
56,1962-09-26,0.6497896909713745,0.6497896909713745,0.6322616338729858,0.6360176205635071,0.0015463700983673334,1647300,GE
57,1962-09-26,4.923333168029785,4.929999828338623,4.739999771118164,4.739999771118164,0.3843727707862854,2051200,IBM
58,1962-01-25,5.76556304522923,10.78125,10.5,10.5,1.8272565603256226,35200,GT
59,1962-04-09,5.76556304522923,28.6875,28.375,28.375,0.47794535756111145,2400,DTE
60,1962-10-31,5.76556304522923,1.6171875,1.60546875,1.6171875,0.014745685271918774,489600,XOM
61,1962-05-15,5.76556304522923,0.21064814925193787,0.20775462687015533,0.20775462687015533,5.855948188582261e-07,302400,JNJ
62,1962-05-15,5.76556304522923,263.75,253.75,263.75,119.2275619506836,1300,NAV
63,1962-04-02,5.76556304522923,9.064276695251465,8.91320514678955,9.034062385559082,0.7973610758781433,28300,IP
64,1962-03-19,5.76556304522923,7.010416507720947,6.916666507720947,6.916666507720947,0.8994194269180298,18000,FL
65,1962-02-14,0.11442013084888458,0.11575059592723846,0.113533154129982,0.113533154129982,0.006296941544860601,394500,HPQ
66,1962-02-13,5.76556304522923,9.8125,9.609375,9.765625,0.2214488685131073,36000,ED
67,1962-02-28,6.1076250076293945,6.2237701416015625,6.039539813995361,6.039539813995361,1.4279943704605103,47900,AA
